0,500,1000,1500,2000,2500,3000
CVN,16.17,24.213,22.57733333,22.1575,24.26,23.284
VECN,23.56,40.319,40.284,40.938,47.1708,47.67866667
CVN,213.6493506,265.473029,238.8110831,258.1910569,269.2631579,248.7513089
VECN,245.7272727,309.4024896,273.5667506,297.2906504,311.7062818,285.2447644
CVN,0.796687941,0.531582003,0.572306036,0.590953697,0.537816635,0.55543049
VECN,0.610487408,0.369112868,0.377754506,0.374764443,0.324484602,0.321409019
CVN,0.335119798,0.41562,0.37,0.3862,0.405416351,0.38461
VECN,0.39,0.535684299,0.48,0.516465,0.546159851,0.511630798
