6,24,53,94,174,260,370,479,587,715,832,940,1036,1098,1144,1186,1225,1290,1370,1464,1555,1654,1764,1871,1985,2090,2202,2305,2409,2504,2579,2639,2694,2738,2775,2813,2862,2939,3000
184,761,1562,2710,4858,4782,6758,6849,6339,7249,6789,6225,5420,3049,2159,2330,2230,3831,4766,5682,5650,6324,6454,6211,6547,6109,6822,6046,5750,5446,4156,3237,2806,2573,2208,1969,3102,4447,3710
207,871,1701,2933,5714,5539,7944,8243,7630,8646,8110,7505,6441,3554,2472,2482,2340,4011,5468,6764,6680,7380,7679,7424,7800,7268,8138,7198,6991,6533,5087,3856,3311,2594,2309,2051,3190,5280,4233
